Year,FY2015-16,FY2014-15,FY2013-14,FY2012-13,FY2011-12
Equity Share Capital,2948.00,2943.00,2940.00,2936.00,2979.00
Total Share Capital,2948.00,2943.00,2940.00,2936.00,2979.00
Revaluation Reserves,835.00,827.00,848.00,1661.00,3740.00
Reserves and Surplus,227765.00,214712.00,194882.00,177433.00,162726.00
Total Reserves and Surplus,228600.00,215539.00,195730.00,179094.00,166466.00
Total Shareholders Funds,231548.00,218482.00,198670.00,182030.00,169445.00
Equity Share Application Money,8.00,17.00,17.00,25.00,0.00
Minority Interest,3356.00,3038.00,959.00,949.00,799.00
Long Term Borrowings,141647.00,120777.00,101016.00,70960.00,65352.00
Deferred Tax Liabilities [Net],20494.00,12974.00,11925.00,11588.00,11567.00
Other Long Term Liabilities,15559.00,9091.00,810.00,0.00,0.00
Long Term Provisions,1231.00,1554.00,290.00,531.00,421.00
Total Non-Current Liabilities,178931.00,144396.00,114041.00,83079.00,77340.00
Short Term Borrowings,23545.00,27965.00,32792.00,18362.00,17283.00
Trade Payables,60296.00,59407.00,60860.00,49700.00,40368.00
Other Current Liabilities,99538.00,45789.00,17058.00,23655.00,17553.00
Short Term Provisions,1775.00,5392.00,4446.00,4557.00,4403.00
Total Current Liabilities,185154.00,138553.00,115156.00,96274.00,79607.00
Total Capital And Liabilities,598997.00,504486.00,428843.00,362357.00,327191.00
Tangible Assets,157825.00,99198.00,97256.00,98715.00,103169.00
Intangible Assets,22831.00,52863.00,44161.00,34772.00,35645.00
Capital Work-In-Progress,170397.00,106256.00,48646.00,17191.00,6495.00
Intangible Assets Under Development,58300.00,60206.00,42848.00,32761.00,18868.00
Fixed Assets,409353.00,318523.00,232911.00,183439.00,164177.00
Non-Current Investments,41512.00,25437.00,26867.00,13979.00,11423.00
Long Term Loans And Advances,2032.00,19538.00,17996.00,9025.00,6741.00
Other Non-Current Assets,14061.00,14.00,0.00,0.00,1.00
Total Non-Current Assets,471212.00,367909.00,277774.00,206443.00,182342.00
Current Investments,42503.00,51014.00,34458.00,28869.00,27173.00
Inventories,46486.00,53248.00,55997.00,54601.00,46692.00
Trade Receivables,4465.00,5315.00,9411.00,9750.00,16939.00
Cash And Cash Equivalents,11869.00,12545.00,37984.00,50456.00,40731.00
Short Term Loans And Advances,0.00,11171.00,9965.00,10455.00,9754.00
OtherCurrentAssets,22462.00,3284.00,3254.00,1783.00,3560.00
Total Current Assets,127785.00,136577.00,151069.00,155914.00,144849.00
Total Assets,598997.00,504486.00,428843.00,362357.00,327191.00
Contingent Liabilities,71110.00,75166.00,63712.00,33135.00,31141.00
Bonus Equity Share Capital,2108.56,2108.56,2108.56,2108.56,2108.56
Non-Current Investments Unquoted Book Value,1416.00,6106.00,5396.00,4754.00,4290.00
Current Investments Unquoted Book Value,32549.00,32663.00,12577.00,13758.00,80.00
