Date,Open,High,Low,Close,Adj Close,Volume
01-04-2008,569.353088,673.119507,555.608398,647.487488,582.263794,239691023
01-05-2008,647.487488,749.396484,591.951416,595.232788,535.272949,202767888
01-06-2008,601.300293,605.262695,484.470215,518.869141,468.868408,403305303
01-07-2008,522.546753,579.122986,475.492798,546.692871,494.010925,375762130
01-08-2008,537.418335,588.422363,508.381042,529.035278,478.054962,251437087
01-09-2008,525.023315,557.21814,437.106659,482.761414,436.240204,391673848
01-10-2008,485.398895,486.141876,230.316833,340.633636,307.808502,560154403
01-11-2008,356.371948,372.766541,255.602142,280.949371,253.875732,586704497
01-12-2008,278.68335,348.447083,253.843811,305.29361,275.874084,590585517
01-01-2009,307.089111,344.236969,263.749908,327.792847,296.20517,487445409
01-02-2009,319.471741,350.205414,297.517334,313.540436,283.326172,331245026
01-03-2009,304.290619,392.132965,276.206848,377.608154,341.220032,453204994
01-04-2009,377.174774,455.680603,370.822479,448.300568,405.100159,360871496
01-05-2009,448.300568,627.799072,448.300568,562.641724,508.422821,362932033
01-06-2009,577.030334,589.165283,470.539764,501.100067,452.811676,392309269
01-07-2009,502.709808,540.625427,425.24411,484.259705,437.594147,395058212
01-08-2009,487.602997,526.261536,462.515808,496.568024,448.716339,273307065
01-09-2009,501.446777,554.716858,476.310059,545.244141,492.701752,331436783
01-10-2009,544.81073,565.464966,475.988098,478.25412,432.167267,276999635
01-11-2009,477.226379,551.249695,446.331726,526.756897,478.862885,289153778
01-12-2009,532.452881,554.741577,490.351959,540.154846,491.042633,156878973
01-01-2010,541.541748,569.551208,504.27002,518.18811,471.073181,296741319
01-02-2010,513.878967,523.215454,475.071808,484.878845,440.792511,149833036
01-03-2010,484.878845,550.283875,484.878845,532.081421,483.703278,193658746
01-04-2010,533.938782,569.452148,501.248657,511.947266,465.399872,173982885
01-05-2010,508.182922,541.566467,483.417694,517.89093,470.80304,219514664
01-06-2010,516.751709,541.838928,492.878021,539.808167,494.076141,187134666
01-07-2010,536.910645,542.086548,498.895966,500.084686,457.718018,157226352
01-08-2010,503.229889,510.659454,453.204071,455.284363,416.713165,215237434
01-09-2010,458.181885,519.327271,456.175903,488.989868,447.563141,222139806
01-10-2010,491.34256,549.788574,490.351959,542.978088,496.977539,221870826
01-11-2010,555.236938,557.168579,474.650787,488.172607,446.815094,208570383
01-12-2010,487.875427,532.452881,484.779785,524.379395,479.954529,172599878
01-01-2011,527.499817,540.575867,446.765106,455.333893,416.758514,206487278
01-02-2011,458.206665,499.960876,438.39447,477.597839,437.13623,248984051
01-03-2011,482.278473,522.546753,477.47403,519.624451,475.602386,199295793
01-04-2011,519.599731,527.945618,480.445862,487.256287,445.97644,129998975
01-05-2011,487.330597,488.766968,444.957245,471.456055,431.514832,145039042
01-06-2011,471.530365,478.95993,410.162079,445.031555,410.796875,172026824
01-07-2011,449.241638,449.241638,407.710327,410.087769,378.541138,170598913
01-08-2011,415.065582,415.511353,352.657166,387.625702,357.807068,178732429
01-09-2011,387.625702,425.46701,370.265259,400.379791,369.580017,253012291
01-10-2011,391.885315,447.755737,377.298584,434.654907,401.218475,147701707
01-11-2011,431.162994,448.251038,371.97406,385.47113,355.818207,161412250
01-12-2011,395.748688,418.334595,341.265137,343.221588,316.818787,195096022
01-01-2012,345.12854,410.063019,340.348846,404.713715,373.580566,220752234
01-02-2012,405.605255,428.290222,379.081696,406.521576,375.249329,206992486
01-03-2012,402.088593,411.103149,355.628998,371.77594,343.176544,193837495
01-04-2012,371.156799,377.868195,358.45224,369.051758,340.661865,123473894
01-05-2012,369.002228,372.17218,333.365021,349.487213,322.602356,153074170
01-06-2012,350.354004,367.986847,333.538391,365.460785,341.456787,134825630
01-07-2012,364.296844,369.547058,350.007294,368.308807,344.117706,100129560
01-08-2012,366.649536,408.577087,361.845062,379.601746,354.668915,143638045
01-09-2012,380.394257,436.660889,376.456573,414.669342,387.433228,152276198
01-10-2012,416.056213,426.952911,337.971375,398.96817,372.763397,133048777
01-11-2012,393.767487,403.624054,376.976624,393.123596,367.302643,108951061
01-12-2012,393.767487,420.910187,391.167114,415.833313,388.520752,98668941
01-01-2013,418.037415,473.016266,414.198822,439.16217,410.317352,166798828
01-02-2013,441.490112,446.269806,399.09201,403.103973,376.627502,110464347
01-03-2013,404.168884,430.618164,378.611145,382.821228,357.676971,121978512
01-04-2013,386.833221,409.419128,378.487305,390.399414,364.757355,138860548
01-05-2013,390.399414,423.485779,385.94165,399.36441,373.133575,143540417
01-06-2013,398.07663,432.401276,384.009979,427.250092,403.628021,157352715
01-07-2013,426.952911,459.593506,415.560913,431.930725,408.049866,153575175
01-08-2013,433.466187,437.280029,378.363495,422.916168,399.533691,147167661
01-09-2013,422.594238,446.269806,405.704315,407.338837,384.817657,139674186
01-10-2013,409.270538,454.690002,405.010895,453.055481,428.006683,125905292
01-11-2013,450.777069,458.924866,413.703491,422.594238,399.229614,91816427
01-12-2013,422.495178,450.232239,414.446472,443.397034,418.882233,98765258
01-01-2014,444.511475,444.907715,407.239777,411.67276,388.911896,130829046
01-02-2014,409.221008,411.004089,392.826385,396.219238,374.312805,84666249
01-03-2014,396.293518,465.48764,394.832397,461.005127,435.516785,193368921
01-04-2014,463.605469,489.732819,460.187866,463.506409,437.879761,119413271
01-05-2014,463.506409,567.248047,458.157135,527.351257,498.194763,191745038
01-06-2014,532.329041,561.180542,495.304993,502.932709,479.450104,150270931
01-07-2014,503.824249,516.751709,474.749847,498.499725,475.224152,147317623
01-08-2014,492.828491,506.697021,480.941162,494.661102,471.564728,102931543
01-09-2014,497.459595,515.761108,454.343292,468.409943,446.539276,140397557
01-10-2014,467.369812,497.137634,451.49527,495.577423,472.438263,126195291
01-11-2014,497.286224,503.89856,477.176849,491.14444,468.21225,98409793
01-12-2014,489.856659,491.31781,425.813721,441.391052,420.781952,135987925
01-01-2015,438.988831,462.862518,411.69751,453.327911,432.161469,157461583
01-02-2015,453.724152,467.468872,414.372162,423.758209,403.972412,120021303
01-03-2015,430.420044,450.554199,394.485657,409.121948,390.01947,141612435
01-04-2015,408.577087,467.716522,402.732483,427.126282,407.183197,177782685
01-05-2015,427.126282,453.402191,424.575439,434.382477,414.100647,133664542
01-06-2015,435.868408,502.288818,432.723206,495.354523,477.711975,206588808
01-07-2015,495.800293,528.911438,486.959106,496.221313,478.547882,144912496
01-08-2015,495.800293,502.164978,405.159485,423.931549,408.832825,152910514
01-09-2015,422.940948,445.526855,408.676147,427.101501,411.889862,145856664
01-10-2015,432.871796,482.823303,425.26889,469.400543,452.682373,116565592
01-11-2015,470.044434,491.59021,450.702789,479.00946,461.949066,110094304
01-12-2015,477.47403,505.0625,452.13916,502.536469,484.638184,133941578
01-01-2016,500.158997,539.758606,483.764404,512.838806,494.573608,240460471
01-02-2016,515.092468,516.008728,439.880371,478.786591,461.734131,165289727
01-03-2016,477.82074,523.042114,477.795959,517.69281,499.2547,143481484
01-04-2016,514.671448,529.926819,484.829315,486.736237,474.274506,161217673
01-05-2016,484.903595,492.803711,458.479065,474.427887,462.281311,137694499
01-06-2016,474.477417,492.407471,462.317688,480.024841,467.734955,120539575
01-07-2016,481.807953,514.498047,480.445862,502.685059,489.815002,107208849
01-08-2016,504.22049,531.957581,487.082947,525.023315,511.58136,124825078
01-09-2016,521.556152,559.471741,496.444214,536.762024,523.019592,207450457
01-10-2016,538.396545,557.83728,516.80127,522.522034,509.144104,124131133
01-11-2016,520.714172,523.017334,460.633667,490.376709,477.821808,132085545
01-12-2016,495.304993,537.405945,488.618378,536.118164,522.392151,133214854
01-01-2017,536.910645,543.597229,501.644897,517.69281,504.438538,125066274
01-02-2017,518.13855,622.499329,506.201721,613.212341,597.512573,232426459
01-03-2017,614.227722,662.544739,607.763977,654.248352,637.497925,302502650
01-04-2017,664.699341,726.983948,662.247559,691.049561,673.356934,208781590
01-05-2017,691.049561,694.417603,641.469482,664.05542,647.053833,148183873
01-06-2017,660.092957,715.913879,648.354248,683.520935,666.020996,170892671
01-07-2017,687.582397,808.090088,679.063171,800.016663,779.53418,224060959
01-08-2017,803.756165,824.633301,757.81665,789.763855,775.186768,129814885
01-09-2017,792.413696,864.307251,771.784241,773.567383,759.289307,176230339
01-10-2017,773.567383,948.806274,773.567383,932.015442,914.812805,151198883
01-11-2017,938.850647,950.490295,864.802551,912.896667,896.046936,132088378
01-12-2017,915.769409,930.08374,854.549744,912.401367,895.56073,122020943
01-01-2018,914.035828,981.644958,897.888916,952.273376,934.696777,133375444
01-02-2018,954.205078,963.467285,862.821289,945.586792,928.133606,146310388
01-03-2018,940.831848,950.886536,871.736816,874.411438,858.272034,134065567
01-04-2018,884.614746,1001.506714,876.9375,954.254639,936.641479,127094404
01-05-2018,954.254639,990.609985,898.087036,912.698547,895.852417,128113280
01-06-2018,911.361206,1026.271973,909.825745,963.318726,945.538208,163110056
01-07-2018,963.219666,1179.222168,948.013794,1174.863525,1160.289917,201167225
01-08-2018,1179.222168,1316.520752,1155.001709,1229.990967,1214.733521,150213627
01-09-2018,1233.309448,1269.318115,1172.386963,1246.137817,1230.680176,181637689
01-10-2018,1245.890259,1245.890259,1006.856018,1051.284912,1038.244263,278098652
01-11-2018,1057.872437,1174.863525,1040.140503,1156.58667,1142.239746,165233102
01-12-2018,1163.867676,1163.867676,1045.093506,1110.721436,1096.943481,154182636
01-01-2019,1114.68396,1252.824463,1070.948486,1215.627075,1200.547852,215775070
01-02-2019,1222.41272,1308.793945,1194.675659,1219.490479,1204.363281,176068478
01-03-2019,1225.384521,1374.966675,1207.157349,1350.449097,1333.69751,188456070
01-04-2019,1357.135742,1399.137573,1308.595825,1379.721558,1362.606812,168529133
01-05-2019,1379.721558,1404.189697,1215.973755,1317.659912,1301.314941,247527281
01-06-2019,1322.464355,1361.345825,1236.925171,1241.333374,1225.935181,134542410
01-07-2019,1246.236938,1287.792969,1151.485107,1155.29895,1140.968018,159478639
01-08-2019,1152.475708,1292.201172,1085.015137,1236.826172,1221.484009,241370859
01-09-2019,1236.826172,1323.207275,1161.638794,1319.740234,1310.58728,183240832
01-10-2019,1324.445557,1475.662231,1269.268555,1450.599731,1440.539185,165829075
01-11-2019,1441.337524,1569.274902,1409.192261,1536.584717,1525.927856,168624156
01-12-2019,1584.975952,1602.361206,1493.889404,1499.83313,1489.431152,173093325
01-01-2020,1503.745972,1593.891479,1393.98645,1398.394653,1388.696289,201733860
01-02-2020,1392.104248,1493.839844,1312.558228,1316.17395,1307.045654,185522260
01-03-2020,1342.37561,1356.145142,867.427673,1103.29187,1095.640137,459269330
01-04-2020,1111.712036,1480.912476,1035.38562,1452.234253,1442.162476,478245980
01-05-2020,1452.234253,1599.835205,1393,1464.400024,1454.243774,463908941
01-06-2020,1480,1804.199951,1475.949951,1704.099976,1692.281372,397672706
01-07-2020,1720,2198.800049,1708.050049,2067.100098,2052.763916,616536793
01-08-2020,2051.300049,2196,2000.25,2080.699951,2074.028076,383255989
01-09-2020,2100,2369.350098,2044.25,2234.350098,2227.185303,378761955
01-10-2020,2263.800049,2309,1991,2054.5,2047.911987,259827270
01-11-2020,2027,2095,1835.099976,1929.800049,1923.611938,432225361
01-12-2020,1940.349976,2038,1855.25,1985.300049,1978.93396,232769277
01-01-2021,1988,2120,1830,1841.949951,1836.043579,300050658
01-02-2021,1859.400024,2152,1848,2085.800049,2079.111816,241126674
01-03-2021,2110.199951,2231.899902,1973.699951,2003.099976,1996.676758,194133090
