Date,Open,High,Low,Close,Adj Close,Volume
01-04-2008,4735.649902,5230.75,4628.75,5165.899902,5165.899902,0
01-05-2008,5265.299805,5298.850098,4801.899902,4870.100098,4870.100098,0
01-06-2008,4869.25,4908.799805,4021.699951,4040.550049,4040.550049,0
01-07-2008,4039.75,4539.450195,3790.199951,4332.950195,4332.950195,0
01-08-2008,4331.600098,4649.850098,4201.850098,4360,4360,0
01-09-2008,4356.100098,4558,3715.050049,3921.199951,3921.199951,0
01-10-2008,3921.850098,4000.5,2252.75,2885.600098,2885.600098,0
01-11-2008,2885.399902,3240.550049,2502.899902,2755.100098,2755.100098,0
01-12-2008,2755.149902,3110.449951,2570.699951,2959.149902,2959.149902,0
01-01-2009,2963.300049,3147.199951,2661.649902,2874.800049,2874.800049,0
01-02-2009,2872.350098,2969.75,2677.550049,2763.649902,2763.649902,0
01-03-2009,2764.600098,3123.350098,2539.449951,3020.949951,3020.949951,0
01-04-2009,3023.850098,3517.25,2965.699951,3473.949951,3473.949951,0
01-05-2009,3478.699951,4509.399902,3478.699951,4448.950195,4448.950195,0
01-06-2009,4450.399902,4693.200195,4143.25,4291.100098,4291.100098,0
01-07-2009,4292.299805,4669.75,3918.75,4636.450195,4636.450195,0
01-08-2009,4633.799805,4743.75,4353.450195,4662.100098,4662.100098,0
01-09-2009,4662.200195,5087.600098,4576.600098,5083.950195,5083.950195,0
01-10-2009,5087.200195,5181.950195,4687.5,4711.700195,4711.700195,0
01-11-2009,4712.25,5138,4538.5,5032.700195,5032.700195,0
01-12-2009,5039.700195,5221.850098,4943.950195,5201.049805,5201.049805,0
01-01-2010,5200.899902,5310.850098,4766,4882.049805,4882.049805,0
01-02-2010,4882.049805,4992,4675.399902,4922.299805,4922.299805,0
01-03-2010,4935.600098,5329.549805,4935.350098,5249.100098,5249.100098,0
01-04-2010,5249.200195,5399.649902,5160.899902,5278,5278,0
01-05-2010,5278.399902,5278.700195,4786.450195,5086.299805,5086.299805,0
